id,name,x86_64-linux,aarch64-linux,aarch64-darwin
_389-ds-base,324441377,324441376,
ac-library,,324441601,
acgtk,,,324441640
acl2-minimal,,324441638,
acr-cli,324441691,324441689,324441688
actual-server,,,325053802
aider-chat-full,325312246,,
aider-chat-with-bedrock,325281560,325281562,325251141
aider-chat-with-browser,325281565,325281564,
aider-chat-with-help,325312242,,325312243
aider-chat-with-playwright,325281568,325281566,
aider-chat,325281559,325281558,325251143
akkoma-admin-fe,,,324442278
alan_2,324443517,324443516,
amiberry,324443912,324443911,
android-file-transfer,,,324444025
apacheHttpdPackages.mod_tile,325256566,325256569,
apacheHttpdPackages_2_4.mod_tile,325256567,325256568,
apftool-rs,,324444658,
applgrid,,324444813,
arftracksat,,,325312273
armTrustedFirmwareTools,,,324445441
armitage,,324445304,
asha-pipewire-sink,324445448,324445446,
ath9k-htc-blobless-firmware-unstable,324446062,324446060,
ath9k-htc-blobless-firmware,324446059,324446061,
atlauncher,,324446190,
autodiff,,,324446664
av1an-unwrapped,324446488,324446487,324446486
aw-notify,,,324446573
aws-sam-cli,325296972,,
azure-cli-extensions.acrcssc,324446857,324446851,324446849
azure-cli-extensions.aksarc,324446887,324446881,324446895
azure-cli-extensions.alias,324446896,324446894,324446891
azure-cli-extensions.aosm,324446913,324446910,324446922
azure-cli-extensions.arcappliance,324447002,324446933,324447004
azure-cli-extensions.arcdata,324447011,324446974,324446937
azure-cli-extensions.attestation,324446945,324446946,324446942
azure-cli-extensions.cloud-service,324447018,324447030,324447020
azure-cli-extensions.connectedk8s,324447035,324447033,324447059
azure-cli-extensions.containerapp,324447045,324447032,324447031
azure-cli-extensions.interactive,324447240,324447242,324447239
azure-cli-extensions.k8s-configuration,324447253,324447254,324447258
azure-cli-extensions.k8s-extension,324447255,324447303,324447266
azure-cli-extensions.serial-console,324447469,324447462,324447464
azure-cli-extensions.webpubsub,324447579,324447580,324447576
azure-sdk-for-cpp.security-attestation,324447657,324447654,
balatro-mod-manager,,325251200,
ballerburg,,,324447866
barrage,324447957,324447955,
beanstalkd,324449004,324449003,
bencode,324449108,,
bepasty,324449378,324449360,324449358
ber_metaocaml,324449158,,
bigloo,324449335,324449331,
biglybt,,,324449337
bio-gappa,324449461,324449459,
bip,324449479,324449478,
birdfont,325251332,325251331,
bitlbee-steam,324449563,324449566,
blender,,325054083,
blink1-tool,324449748,324449747,
blockstream-electrs,324449850,,
bodyclose,324449969,324449967,324449966
bombono,324450039,324450032,
bootil,,,324450166
boxfs,324450303,324450301,
brickstore,324450414,324450413,
brlcad,324450438,,
build2-bootstrap,,,324450738
bupc,324450990,324450989,
c64-debugger,324451165,324451164,
calibre-no-speech,325278284,,
candle,,,324451420
caprice32,324451486,324451484,
cardpeek,324451543,324451542,
cargo-deb,,,324451692
cargo-dephell,324451708,324451706,
cargo-raze,324451931,324451930,324451929
cargo-risczero,,,324451944
cargo-ui,,,324452034
carps-cups,,,324452122
cataclysm-dda-git,,,324452201
cataclysm-dda,,,324452197
catboost,324452220,324452217,324452232
cbconvert-gui,324452359,324452358,
cbconvert,324452357,324452356,
cbmbasic,,,325182210
cdb,324452512,324452509,324452517
cdesktopenv,324452557,324452543,
cdparanoia-iii,,,324452593
cdparanoia,,,324452588
cegui,,,324452621
cerberus,324452678,324452675,324452676
cfspeedtest,,,324452811
cfv,,,324452819
cgui,324452889,324452885,
chatterino7,,,325251368
chelf,,,324453066
chiptrack,324453213,324453214,
chrony,,,324455657
ciao,324455700,324455697,
clboss,324456031,324456027,324456028
clfft,,,324456111
clightning,,,324456151
clipcat,,,324456180
clipit,324456197,324456186,
cloud-custodian,324456307,324456301,324456302
cmtk,324456549,324456546,324456547
coan,324456597,324456596,
coloquinte,324457029,324457028,
color-transformation-language,,,325300566
comaps,325221548,325221549,
compactor,324457248,324457249,
conan,,325032132,
connectome-workbench,324457392,324457387,
contour,,,325312354
copacetic,,,324457568
coredns,,,324458099
corrscope,324458184,324458167,324458176
cp437,,,324458354
cpp-ipfs-http-client,324458384,,
cre2,324458591,324458589,
creduce,324458615,324458618,
csmith,,,324458927
cuneiform,324459150,324459148,
cups-dymo,,,324459179
d-seams,324459490,,
daikhan,,324459525,
darwin.sigtool,324459738,324459737,
dasher,,,324459773
db-rest,,,324459890
dblab,,,324459950
dc3dd,324460004,324460003,
deadpixi-sam-unstable,,,324460160
debase,324460172,324460171,
decker,,,324460209
defuddle-cli,324460270,324460267,324460266
degate,,,324460273
deluged,,,324460352
denemo,325281644,325281643,
deno,,,325245216
deskew,,,324460449
dexed,,,324460573
dia,,,324460854
diamond,,,324460738
dico,,,324460743
dictu,324460797,324460798,
digital,,,324460896
dillo-plus,324460917,324460914,324460915
dino,,,325262291
directx-shader-compiler,,,324460990
direvent,,,324460993
direwolf-unstable,,,325221572
direwolf,,,324460999
disk_indicator,324461068,324461067,
djgpp,324461205,324461202,324461204
djgpp_i586,324461209,324461203,324461206
djgpp_i686,324461214,324461212,324461211
djmount,324461222,324461216,
dl-librescore,,,325251489
dleyna,,,324461267
dmd,324461302,,
dmitry,324461324,324461323,
dmtcp,324461339,,
dnadd,,,324461352
dnslink-std-go,,,324461417
dnsmonster,324461439,324461438,
dockapps.wmsm-app,,,324461591
docker-language-server,325150293,,
docstrfmt,324461726,324461723,324461727
documenso,325179564,325179560,325179556
domino-chain,324461826,324461824,
dopewars,324461873,324461871,
dosbox-x,,,325281647
dosbox,,,324751473
dragmap,324462669,,
drat,,,324462682
driftnet,,,324462727
dt,,,324462851
ec,,,324463377
ecasound,324463396,324463395,
ecl_16_1_2,324463429,324463426,
ecos,324463572,324463573,
edencommon,,,324463608
eflite,324463705,324463703,
eggdrop,324463739,324463736,
eggnog-mapper,,,325032236
egoboo,,,324463750
eigenmath,324463778,324463777,
eiskaltdcpp,325036274,325036273,
ela-widget-tools,,,324463833
electricsheep,325251520,325251519,
electrs,,,324463894
electrum,,,324463905
elektroid,324463912,324463909,
