id,name,x86_64-linux,aarch64-linux,aarch64-darwin
_86box,,,328967402
ac-library,,,329134020
acl2-minimal,,328383045,
age-plugin-fido2prf,,,328715764
aider-chat-with-bedrock,329224768,329224764,329224765
aider-chat-with-browser,329224769,329224766,329224770
aider-chat-with-playwright,329224776,329224771,329224777
aider-chat,329224763,329224762,329224767
akkoma-admin-fe,,,329081856
alan_2,328384945,328384939,
alembic,,,328384977
apacheHttpdPackages.mod_tile,329224791,329224789,
apacheHttpdPackages_2_4.mod_tile,329224792,329224790,
applgrid,,328837380,
appstream,,,328386267
ariang,329215902,329215903,329215901
armTrustedFirmwareTools,,,328386621
armitage,,,328983001
ath9k-htc-blobless-firmware-unstable,328387517,328387556,
ath9k-htc-blobless-firmware,328387513,328387511,
atlauncher,,328983025,
aw-notify,,,329134353
awesome,329215956,329215948,
aws-sam-cli,329241497,329241503,329241499
azahar,,,329082020
azure-cli-extensions.acrcssc,329134433,329134431,329134434
azure-cli-extensions.aksarc,329134439,329134437,329134435
azure-cli-extensions.alias,328388347,328388348,328388344
azure-cli-extensions.aosm,329134440,329134443,329134444
azure-cli-extensions.arcappliance,329134447,329134441,329134442
azure-cli-extensions.arcdata,329134452,329134472,329134471
azure-cli-extensions.attestation,329134451,329134449,329134448
azure-cli-extensions.cloud-service,329134459,329134455,329134454
azure-cli-extensions.connectedk8s,329134464,329134460,329134465
azure-cli-extensions.containerapp,329134478,329134461,329134466
azure-cli-extensions.interactive,328388701,328388699,328388712
azure-cli-extensions.k8s-configuration,328388722,328388711,328388718
azure-cli-extensions.k8s-extension,329134468,329134470,329134473
azure-cli-extensions.serial-console,328388922,328388923,328388921
azure-cli-extensions.stack-hci-vm,328388949,328388943,328388942
azure-cli-extensions.webpubsub,329134490,329134491,328389039
azure-sdk-for-cpp.security-attestation,328389114,328389128,
badkeys,329134527,329134529,329134528
ballerburg,,,329215970
beam29Packages.rebar3,328946374,328946373,328946371
beamMinimal29Packages.rebar3,328946469,328946467,328946466
beamerpresenter-mupdf,,,329216008
beamerpresenter,,,329216000
beszel,,,329082200
biglybt,,,328983130
bodyclose,328717807,328717813,328717804
bootil,,,328391400
boulder,,,328717899
candle,,,328967913
cardpeek,,,328392832
cargo-deb,,,328392963
cargo-risczero,,,328393245
cargo-ui,,,328906607
casacore,,,329224998
castero,329134878,,
cbconvert-gui,328838962,328838926,
cbconvert,328838929,328838918,
cbmbasic,,,328393676
cdecl,,,328393805
cdparanoia-iii,,,328393907
cdparanoia,,,328393906
cegui,,,328393901
cfspeedtest,,,328394100
cfv,,,328394109
cgns,,,328394144
clfft,,,328397384
cliamp,,,329135033
cockpit-zfs,329241580,329241581,
cocom-tool-set,,,328398100
colmap,,329135084,329135086
compactor,328839459,328839461,
conan,,,329225043
contour,,,328968133
coredns,,,329135168
corkscrew,,,328399470
cp437,,,328399695
csmith,,,328400273
css-variables-language-server,,,329082680
cuneiform,329216301,329216303,
cups-dymo,,,328400522
daikhan,,328947239,
dart_frog_cli,329135297,329135279,
darwin.PowerManagement,,,328401009
dasher,,,328401121
dateutils,,,328401185
db-rest,,,329082745
deadpixi-sam-unstable,,,328401515
debase,,,328907047
decker,,,328401559
deluged,,,329135361
deskew,,,328401801
diamond,,,328402100
dico,,,328947343
diffoscope,,,329225123
directx-shader-compiler,,,328402352
direvent,,,328402368
direwolf-unstable,,,328402365
direwolf,,,328402361
djgpp,328402608,328402571,328402575
djgpp_i586,328402609,328402572,328402574
djgpp_i686,328402599,328402580,328402569
dl-librescore,,,328947380
dleyna,,,328402647
dmd,328402674,,
dnadd,,,328402711
dnsight,329135448,329135447,329135446
dnslink-std-go,,,328720963
dockapps.wmsm-app,,,328402955
documenso,329216406,329216409,
dovecot_pigeonhole,,,328968400
dovecot_pigeonhole_2_4,,,328968401
driftnet,,,328404120
dt,,,328404255
ecl_16_1_2,328404828,328404832,
eggnog-mapper,,,328405143
egoboo,,,329135565
ela-widget-tools,,,328968466
element-call,,,329082998
emilua,,328841259,
emiluaPlugins.emilua,,328841260,
emmy-lua-code-style,328405693,328405698,
envoluntary,,,328405966
epgstation,,,329083068
equalx,,,328968536
ete-unwrapped,,328947726,328406278
etlegacy-unwrapped,,,328406313
exatorrent,,,329083117
excalidraw_export,328841522,328841542,329083110
expliot,329135668,329135669,
fauna-shell,328722530,328722548,329083145
fbv,,,328407185
fcron,,,328407290
fedimint,328407348,328407339,
ffmpeg_4-full,,,328983691
ffmpeg_4,,,328407562
filen-desktop,,,329216656
firefox-esr-140-unwrapped,,,329216682
firefox-esr-unwrapped,,,329216674
fishPlugins.pure,,,328723001
fleng,,,328408411
flex-launcher,,,328408424
flow-control,,,328408554
fluent-bit,,,329135861
fmt_10,,,328408799
fmt_9,,,328408786
folly,,,328408822
foonathan-memory,,,328409038
ford,,,328409043
fortitude,,,328409107
fotema,329135899,328948005,
freepv,,,328409361
fwts,328409794,328409792,
g15daemon,,,328409850
gama,,,329135984
gaphor,329135998,329135997,
garble,,328842544,
gaw,328842569,328842587,
gbdfed,,,328410263
gccNGPackages_15.gcc-unwrapped,,,328410345
gccNGPackages_15.libquadmath,328410400,,
getxbook,,,328410969
ggz_base_libs,328411045,328411041,
ghidra-extensions.gnudisassembler,,328983882,329216836
ghostfolio,,,329083337
giac,,,329225254
gimme-aws-creds,329136141,329136139,329136140
git-chain,,,328411629
git-gamble,,,328411742
git-run,328411953,328411952,329083368
git-together,,,328412035
gitbeaker-cli,,328724457,
gitlab-elasticsearch-indexer,,,328724545
glances,,329136235,
globus-cli,329136245,329136243,329136242
gmic,,,329083409
gnat15Packages.gnatprove,,328412986,
gnat16Packages.gprbuild-boot,329216974,329216971,
gnome2.gtksourceview,,,328413238
gnucobol,,,329225301
gnudatalanguage,,329137675,
gnuradioPackages.fosphor,329137681,329137677,
gophernotes,328725839,328725841,328725831
gossip,328948558,328948561,328416938
goxlr-utility,,,328417094
gpt4all,328969080,328969089,
gradm,,328843833,
grafx2,,,329137772
greenbone-feed-sync,,,329137796
gridtracker2,,,329217110
groestlcoind,328843938,328843939,328417903
gromacsPlumed,328417934,328417933,
gtk-frdp,,,329225329
gtkgnutella,328844099,328844082,
guile-git,,,328908546
halide,328418909,,
handlr-regex,,,328418954
hash_extender,,,328419069
hashcash,,,328419066
haskellPackages.AppleScript,,,328419336
haskellPackages.GOST34112012-Hash,,328419729,328419698
haskellPackages.HsHTSLib,,,328419965
haskellPackages.aoc,,,328422661
haskellPackages.botan-low,,329217150,
haskellPackages.bytestring-encoding,,,328424310
haskellPackages.copilot-c99,,,328425893
haskellPackages.cpython,,328726923,
haskellPackages.diagrams-pandoc,,328844478,
haskellPackages.epub-metadata,,,328428140
haskellPackages.error-codes,,,328428130
haskellPackages.eventlog-live-otelcol,328428344,328726934,328726933
haskellPackages.executable-hash,,,328428326
haskellPackages.exinst-base,,,328428351
haskellPackages.fold-debounce-conduit,,,328428915
haskellPackages.freetype2,,328429089,328429088
haskellPackages.genvalidity-dirforest,,,328429629
haskellPackages.gi-gdkx113,,,328430090
haskellPackages.gi-gdkx114,,,328726971
haskellPackages.gi-gtkosxapplication,,,328727018
haskellPackages.gi-soup3,,,328430184
haskellPackages.gtk-mac-integration,,,328431380
haskellPackages.gtk-traymanager,,,328431434
haskellPackages.gtk3-mac-integration,,,328431444
haskellPackages.hamid,,,328431628
haskellPackages.hdf5,,,328432127
haskellPackages.heftia-effects,,,328432186
haskellPackages.heph-aligned-storable,,,328432207
haskellPackages.highlight,,,328432429
haskellPackages.hlibgit2,,328844740,
haskellPackages.huckleberry,,,328433760
haskellPackages.hunspell-hs,,,328433774
haskellPackages.hw-json-simd,,328433806,328433813
haskellPackages.ihp-ide,329083668,329083665,328969377
haskellPackages.implicit,,,328434112
haskellPackages.kqueue,,,328435111
haskellPackages.libtorch-ffi,,,328435649
haskellPackages.llvm-tf,,,328435954
haskellPackages.memcache,,,328436592
haskellPackages.memzero,,,328436639
haskellPackages.minici,,,328436862
haskellPackages.miso-examples,328727108,328727106,
haskellPackages.network-can,,,328437914
haskellPackages.om-time,,,328438564
haskellPackages.perceptual-hash,,,328439418
haskellPackages.persistent-pagination,,,328439463
haskellPackages.ping-wrapper,,,328439616
haskellPackages.pipes-zlib,,,328439748
haskellPackages.posix-socket,,,328440005
haskellPackages.posix-timer,,,328440009
haskellPackages.posix-waitpid,,,328440056
haskellPackages.pthread,,,328440744
haskellPackages.rawfilepath,,,328441202
haskellPackages.rdtsc-enolan,,328441230,328441232
haskellPackages.rdtsc,,328441236,328441234
haskellPackages.sdl2-cairo,,,328442542
haskellPackages.sdl2-mixer,328948837,328948839,
haskellPackages.select,,,328442489
haskellPackages.sha256,,,328442933
haskellPackages.simdutf,,328443233,
haskellPackages.socket,,,328443660
haskellPackages.store,,,328444245
haskellPackages.system-linux-proc,,,328444851
haskellPackages.tailfile-hinotify,,,328444951
haskellPackages.termbox-bindings-c,,,328445293
haskellPackages.vulkan-utils,328844999,,
haskellPackages.wai-middleware-metrics,,,328447686
haskellPackages.xgboost-haskell,328727211,,
haskellPackages.xls,,,328448289
haskellPackages.xmonad-utils,,,328448390
haskellPackages.zlib-bytes,,,328448899
haskellPackages.zot,,,328448940
hdate,,,328449141
hdf5-blosc,,,328449159
hexagonrpc,,,328449471
hgrep,,328449560,
hime,328969597,328969606,
home-assistant-custom-components.homematicip_local,329241877,,
