id,name,x86_64-linux,aarch64-linux,aarch64-darwin
ac-library,,,340208206
actual-server,,,340732861
aerion,,,340208519
aerogramme,340208486,340208485,
alan_2,340209693,340209692,
alibuild,340693718,340693717,340693716
amnezia-vpn-bin,340210038,,
anilibria-winmaclinux,,,340210259
ao3downloader,340210493,340210596,340210554
apacheHttpdPackages.mod_tile,340706401,340706403,
apacheHttpdPackages_2_4.mod_tile,340706402,340706404,
archivemount,,,340210858
ath9k-htc-blobless-firmware-unstable,340211756,340211754,
ath9k-htc-blobless-firmware,340211757,340211753,
aws-sam-cli,,,340894110
ax25-tools,340212336,340212334,
azure-cli-extensions.acrcssc,340212399,340212404,340212397
azure-cli-extensions.aksarc,340212430,340212421,340212445
azure-cli-extensions.alias,340212431,340212427,340212425
azure-cli-extensions.aosm,340212441,340212446,340212442
azure-cli-extensions.arcappliance,340212454,340212461,340212501
azure-cli-extensions.arcdata,340212458,340212600,340212544
azure-cli-extensions.attestation,340212467,340212468,340212466
azure-cli-extensions.cloud-service,340212626,340212551,340212810
azure-cli-extensions.connectedk8s,340212992,340212556,340213100
azure-cli-extensions.containerapp,340212587,340212565,340212548
azure-cli-extensions.k8s-configuration,340212726,340212727,340212724
azure-cli-extensions.k8s-extension,340212725,340212777,340212750
azure-cli-extensions.redisenterprise,340212858,340212859,340212857
azure-cli-extensions.serial-console,340212891,340212887,340212888
azure-cli-extensions.stack-hci-vm,340212908,340212909,340212907
azure-cli-extensions.webpubsub,340212976,340212986,340212975
azure-sdk-for-cpp.security-attestation,340213034,340213032,
barman,,,340213315
beadwork,,340213560,
beanhub-cli,340214090,340214093,340214147
biglybt,,,340214308
bootil,,,340214988
bottom,,,340732968
boulder,,,340215058
brlcad,341055051,,
btrsync,340215413,340215412,
bugdom,,,340215477
bumblebee-status,340215637,340215636,
cadabra2,340215861,340215857,
candle,,,340216033
capa,,,340216241
cargo-arc,,,340216168
cargo-deb,,,340216270
cargo-risczero,,,340216453
cargo-ui,,,340216522
casacore,,,340216604
cbconvert-gui,340216778,340216779,
cbconvert,340216776,340216775,
cbmbasic,,,340216792
cdecl,,,340216919
cegui,,,340216994
celeste,340753334,340753337,
cfv,,,340217159
chickenPackages_5.chickenEggs.fusion-arrays,,,340217938
chickenPackages_5.chickenEggs.hypergiant,,,340218076
chickenPackages_5.chickenEggs.libyaml,,340218160,340218161
chipsec,340217469,340217467,340217468
clevercsv,340219693,340219691,340219695
clfft,,,340219697
clipcat,,,340219792
cloudcompare,340220044,340220277,
cocom-tool-set,,,340220269
colmap,,340899057,
compare50,340220645,340220678,340220680
contour,,,340749586
coq_8_7,340221344,340221343,
coq_8_8,340221350,340221347,
coq_8_9,340221568,340221473,
coredns,,,340221338
cortex-tools,340221413,340221412,340221414
cosmopolitan,340221513,,
cot,340899070,340899071,340899068
cp437,,,340221571
cpond,,,340221599
cpp-interop,,,340221605
cppclean,340221627,340221626,
credsweeper,,340762834,
creek,340221795,340221801,
cuneiform,340222226,340222225,
cups-dymo,,,340222239
cwltool,340222394,340222419,340222405
